Num Prots	Num Annotations	PMID	Title	Year	Journal	Taxon ID	Num Used						
2412	2412	18614015	A mitochondrial protein compendium elucidates complex I disease biology.	2008	Cell	taxon:10090	2412				4433	178024	2.490113693
1186	1213	14651853	"Integrated analysis of protein composition, tissue diversity, and gene regulation in mouse mitochondria."	2003	Cell	taxon:10090	1213						
375	375	12865426	Proteomic analysis of the mouse liver mitochondrial inner membrane.	2003	The Journal of biological chemistry	taxon:10090	375						
266	433	11591653	Protein-protein interaction panel using mouse full-length cDNAs.	2001	Genome research	taxon:10090	433						
1043	1365	15525680	Mycobacterium tuberculosis functional network analysis by global subcellular protein profiling.	2005	Molecular biology of the cell	taxon:1773	1365				2713	6928	39.15993072
735	735	14532352	Comprehensive proteomic profiling of the membrane constituents of a Mycobacterium tuberculosis strain.	2003	Molecular & cellular proteomics : MCP	taxon:1773	735						
613	613	12657046	Genes required for mycobacterial growth defined by high density mutagenesis.	2003	Molecular microbiology	taxon:1773	613						
4247	7046	16823372	ORFeome cloning and global analysis of protein localization in the fission yeast Schizosaccharomyces pombe.	2006	Nature biotechnology	taxon:284812	7043	taxon:4896	3		7302	15733	46.41200025
258	259	12529438	Global transcriptional responses of fission yeast to environmental stress.	2003	Molecular biology of the cell	taxon:284812	259						
1251	1251	18431481	"Sorting signals, N-terminal modifications and abundance of the chloroplast proteome."	2008	PloS one	taxon:3702	1251				9590	41132	23.31518039
1136	1136	17317660	Quantitative phosphoproteomics of early elicitor signaling in Arabidopsis.	2007	Molecular & cellular proteomics : MCP	taxon:3702	1136						
1041	1041	21166475	Analysis of the Arabidopsis cytosolic proteome highlights subcellular partitioning of central plant metabolism.	2011	Journal of proteome research	taxon:3702	1041						
784	784	21533090	Arabidopsis plasmodesmal proteome.	2011	PloS one	taxon:3702	784						
724	882	20061580	"AT_CHLORO, a comprehensive chloroplast proteome database with subplastidial localization and curated information on envelope proteins."	2010	Molecular & cellular proteomics : MCP	taxon:3702	882						
634	634	15028209	The Arabidopsis thaliana chloroplast proteome reveals pathway abundance and novel protein functions.	2004	Current biology : CB	taxon:3702	634						
577	577	17432890	Membrane proteomic analysis of Arabidopsis thaliana using alternative solubilization techniques.	2007	Journal of proteome research	taxon:3702	577						
436	436	17644812	A high content in lipid-modified peripheral proteins and integral receptor kinases features in the arabidopsis plasma membrane proteome.	2007	Molecular & cellular proteomics : MCP	taxon:3702	436						
430	513	16618929	Mapping the Arabidopsis organelle proteome.	2006	Proceedings of the National Academy of Sciences of the United States of America	taxon:3702	513						
401	401	17151019	A proteomics dissection of Arabidopsis thaliana vacuoles isolated from cell culture.	2007	Molecular & cellular proteomics : MCP	taxon:3702	401						
